"Riding","Place","Eligible","TurnoutAbs","TurnoutRel","LIB","CON","NDP","GREEN","BLOC","LIB_CAND","CON_CAND","NDP_CAND","GREEN_CAND","BLOC_CAND","Located","LatLong","IsNew","Precise","PrevRidingNo"
"10001",1,133,107,0,55,4,9,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",2,1509,715,0,303,82,76,2,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.7706842,-53.2124594",0,0,10001
"10001",3,2615,1192,0,655,102,141,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.7340533,-53.2380866",0,0,10001
"10001",4,2166,1001,0,510,107,98,6,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",5,1324,603,0,338,67,50,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.7407495,-53.2190993",0,0,10001
"10001",6,280,168,0,133,8,12,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",7,1437,701,0,406,47,59,3,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.6488285,-53.2084821",0,0,10001
"10001",8,739,337,0,174,35,45,3,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.6748706,-53.2353747",0,0,10001
"10001",9,1751,841,0,488,74,77,3,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",11,309,168,0,104,6,20,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",12,3192,1582,0,896,213,124,8,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5767834,-53.2785759",0,0,10001
"10001",13,380,213,0,95,60,7,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",14,551,338,0,168,31,35,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",15,3296,1719,0,983,162,286,9,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.4837574,-53.0461416",0,0,10001
"10001",16,1770,852,0,486,84,155,4,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",17,2479,1234,0,762,85,206,5,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5090978,-52.9792559",0,0,10001
"10001",18,4299,2077,0,1176,178,320,12,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5090978,-52.9792559",0,0,10001
"10001",19,1737,915,0,525,77,208,12,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5203815,-52.9448543",1,0,10006
"10001",20,3758,1955,0,1208,150,338,12,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.52478475,-52.947354453508595",1,1,10006
"10001",21,4105,2185,0,1394,230,347,13,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5343657,-52.9423428",1,0,10006
"10001",22,3738,1909,0,1236,188,367,12,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.542118450000004,-52.88516461265432",1,1,10006
"10001",24,4977,2621,0,1699,273,451,8,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5252057,-52.870517",1,0,10006
"10001",25,727,342,0,189,21,36,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5361274,-53.2090231",0,0,10001
"10001",26,571,269,0,146,42,33,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5363325,-53.2696332",0,0,10001
"10001",27,321,175,0,85,45,12,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",28,1524,658,0,328,109,79,4,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",29,370,212,0,112,24,29,4,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.5435766,-53.3123936",0,0,10001
"10001",30,1295,599,0,325,41,33,4,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",31,535,248,0,124,21,33,0,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",32,642,340,0,203,22,50,1,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
"10001",33,535,323,0,183,39,42,3,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",1,"47.4667792,-53.2038672",0,0,10001
"10001",34,414,296,0,146,40,54,2,0,"McDonald, Ken","Barnett, Lorraine E.","Baldwin, Jeannie","Byrne-Puumala, Krista","NA",0,NA,NA,NA,0
