"Station","Place"
"10001 1",1
"10001 2",2
"10001 3",3
"10001 5",2
"10001 6",3
"10001 7",4
"10001 8",5
"10001 9",6
"10001 10",7
"10001 11",6
"10001 12",8
"10001 14",6
"10001 15",9
"10001 16",9
"10001 17",10
"10001 18",11
"10001 19",12
"10001 20",13
"10001 21",12
"10001 22",14
"10001 23",15
"10001 24",16
"10001 25",17
"10001 26",17
"10001 27",17
"10001 28",18
"10001 30",19
"10001 31",20
"10001 32",21
"10001 33",22
"10001 34",22
"10001 35",22
"10001 36",23
"10001 37",23
"10001 38",24
"10001 39",25
"10001 40",26
"10001 41",27
"10001 42",28
"10001 43",28
"10001 44",28
"10001 45",29
"10001 46",30
"10001 47",31
"10001 48",31
"10001 49",32
"10001 50",33
"10001 51",33
"10001 52",34
"10001 53",35
"10001 54",35
"10001 55",36
"10001 56",37
"10001 57",38
"10001 58",38
"10001 59",38
"10001 60",39
"10001 61",14
"10001 62",40
"10001 63",40
"10001 64",40
"10001 65",41
"10001 66",40
"10001 67",42
"10001 68",43
"10001 69",43
"10001 70",43
"10001 71",43
"10001 72",43
"10001 73",42
"10001 74",42
"10001 74-1",42
"10001 75",42
"10001 76A",42
"10001 77",44
"10001 78",44
"10001 79",45
"10001 80",44
"10001 81",44
"10001 82",45
"10001 83",45
"10001 84",46
"10001 85",47
"10001 86",46
"10001 87",46
"10001 88",48
"10001 89",49
"10001 90",49
"10001 91",49
"10001 92",49
"10001 92-1",49
"10001 93",49
"10001 94",50
"10001 94-1",50
"10001 95",51
"10001 96",50
"10001 97",50
"10001 99",50
"10001 100",52
"10001 101",53
"10001 102",53
"10001 103",54
"10001 104",55
"10001 105",52
"10001 106",52
"10001 107",52
"10001 108",56
"10001 109",56
"10001 110",57
"10001 111",57
"10001 112",52
"10001 113A",56
"10001 115",58
"10001 116",59
"10001 116-1",59
"10001 117",54
"10001 118",55
"10001 120",57
"10001 120-1",57
"10001 121",60
"10001 122",61
"10001 123",62
"10001 123-1",62
"10001 124",62
"10001 124-1",62
"10001 125",63
"10001 126",64
