ED_CODE,ED_NAMEE,Direct Match,MATCHED
10001,Avalon,10001,1
10002,Bonavista--Burin--Trinity,#N/A,0
10003,Coast of Bays--Central--Notre Dame,#N/A,0
10004,Labrador,10004,1
10005,Long Range Mountains,#N/A,0
10006,St. John's East,10006,1
10007,St. John's South--Mount Pearl,10007,1
11001,Cardigan,11001,1
11002,Charlottetown,11002,1
11003,Egmont,11003,1
11004,Malpeque,11004,1
12001,Cape Breton--Canso,12001,1
12002,Central Nova,12002,1
12003,Cumberland--Colchester,#N/A,0
12004,Dartmouth--Cole Harbour,12003,1
12005,Halifax,12004,1
12006,Halifax West,12005,1
12007,Kings--Hants,12006,1
12008,Sackville--Preston--Chezzetcook,#N/A,0
12009,South Shore--St. Margarets,#N/A,0
12010,Sydney--Victoria,12010,1
12011,West Nova,12011,1
13001,Acadie--Bathurst,13001,1
13002,Beauséjour,#N/A,0
13003,Fredericton,13003,1
13004,Fundy Royal,13004,1
13005,Madawaska--Restigouche,13005,1
13006,Miramichi--Grand Lake,#N/A,0
13007,Moncton--Riverview--Dieppe,13007,1
13008,New Brunswick Southwest,13008,1
13009,Saint John--Rothesay,#N/A,0
13010,Tobique--Mactaquac,13010,1
24001,Abitibi--Baie-James--Nunavik--Eeyou,24046,1
24002,Abitibi--Témiscamingue,#N/A,0
24003,Ahuntsic-Cartierville,#N/A,0
24004,Alfred-Pellan,24003,1
24005,Argenteuil--La Petite-Nation,#N/A,0
24006,Avignon--La Mitis--Matane--Matapédia,#N/A,0
24007,Beauce,24005,1
24008,Beauport--Limoilou,24007,1
24009,Bécancour--Nicolet--Saurel,#N/A,0
24010,Bellechasse--Les Etchemins--Lévis,#N/A,0
24011,Beloeil--Chambly,#N/A,0
24012,Berthier--Maskinongé,#N/A,0
24013,Thérèse-De Blainville,#N/A,0
24014,Pierre-Boucher--Les Patriotes--Verchères,#N/A,0
24015,Bourassa,24009,1
24016,Brome--Missisquoi,24010,1
24017,Brossard--Saint-Lambert,#N/A,0
24018,Rimouski-Neigette--Témiscouata--Les Basques,#N/A,0
24019,Charlesbourg--Haute-Saint-Charles,24013,1
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,#N/A,0
24021,Châteauguay--Lacolle,#N/A,0
24022,Chicoutimi--Le Fjord,24016,1
24023,Compton--Stanstead,24017,1
24024,Dorval--Lachine--LaSalle,#N/A,0
24025,Drummond,24018,1
24026,Gaspésie--Les Îles-de-la-Madeleine,#N/A,0
24027,Gatineau,24020,1
24028,Hochelaga,24021,1
24029,Honoré-Mercier,#N/A,0
